Date,Time,Temperature,Humidity,Wind Speed,Weather Condition,condition_encoded
2024-11-26,02:00:00,1.2090369310777127,-0.3800832516377499,1.365860166834495,few clouds,0
2024-11-26,05:00:00,1.0178403931398419,-0.7449631732099898,0.843263507136953,scattered clouds,1
2024-11-26,08:00:00,0.854760993134011,-0.9882164542581497,0.8202077721502965,broken clouds,2
2024-11-26,11:00:00,0.9109952689980909,-0.5017098921618298,0.44363076736824425,broken clouds,2
2024-11-26,14:00:00,0.45549763449904546,0.10642331045856997,-0.1173921173070583,clear sky,3
2024-11-26,17:00:00,1.6026768621262708,-1.5963496568785496,0.10547998756395234,clear sky,3
2024-11-26,20:00:00,1.6476642828175345,-1.7179762974026296,-0.7783231869245382,clear sky,3
2024-11-26,23:00:00,0.8772547034796429,-0.5017098921618298,-1.4623099915286741,scattered clouds,1
2024-11-27,02:00:00,0.6073301793320608,-0.3800832516377499,-1.5391624414841951,overcast clouds,4
2024-11-27,05:00:00,0.5173553379495333,-0.015203330065509996,-0.7168412269601215,light rain,5
2024-11-27,08:00:00,-0.2136902482835021,1.0794364346512098,1.8346601115631727,moderate rain,6
2024-11-27,11:00:00,-0.005623427586407845,1.5659429967475296,1.773178151598756,light rain,5
2024-11-27,14:00:00,-0.25867766897476585,1.3226897156993696,1.5656765367188497,light rain,5
2024-11-27,17:00:00,-0.944735834516538,2.0524495588438496,1.611788006692162,light rain,5
2024-11-27,20:00:00,-0.06185770345048729,0.10642331045856997,0.505112727332661,overcast clouds,4
2024-11-27,23:00:00,-0.6523176000233235,0.8361831536030497,0.005571802621775249,broken clouds,2
2024-11-28,02:00:00,-1.0065935379670252,1.2010630751752898,-0.8705461268711631,broken clouds,2
2024-11-28,05:00:00,-1.3496226207379114,1.4443163562234496,-1.3086050916176324,scattered clouds,1
2024-11-28,08:00:00,-1.6364174276447174,1.4443163562234496,-1.2471231316532154,clear sky,3
2024-11-28,11:00:00,-1.8950950966194837,1.5659429967475296,-1.6774968514041328,clear sky,3
2024-11-28,14:00:00,-1.6532877104039414,0.9578097941271297,-1.3393460715998406,clear sky,3
2024-11-28,17:00:00,-0.16307940000583052,-1.2314697353063098,-1.44693950153757,clear sky,3
2024-11-28,20:00:00,-0.16307940000583052,-0.7449631732099898,-1.277864111635424,broken clouds,2
2024-11-28,23:00:00,-0.9953466827942096,0.47130323203080987,-0.9089723518489236,broken clouds,2
2024-11-29,02:00:00,-1.3608694759107272,0.8361831536030497,-0.6476740220001524,broken clouds,2
2024-11-29,05:00:00,-1.2652712069417915,0.9578097941271297,-0.27878226221365215,broken clouds,2
2024-11-29,08:00:00,-1.197790075904896,0.5929298725548898,-0.03285442235598541,overcast clouds,4
2024-11-29,11:00:00,-1.0628278138311051,0.3496765915067299,0.5512241973059736,overcast clouds,4
2024-11-29,14:00:00,-0.6523176000233235,0.10642331045856997,0.4513160123637962,broken clouds,2
2024-11-29,17:00:00,0.854760993134011,-0.9882164542581497,0.9892831620524429,broken clouds,2
2024-11-29,20:00:00,0.6129536069184686,-0.8665898137340697,0.9201159570924736,overcast clouds,4
2024-11-29,23:00:00,0.24180738621554285,-0.6233365326859098,0.6818733622303591,overcast clouds,4
2024-11-30,02:00:00,0.4105102138077817,-0.8665898137340697,0.7971520371636404,overcast clouds,4
2024-11-30,05:00:00,0.25867766897476685,-0.6233365326859098,0.6741881172348069,overcast clouds,4
2024-11-30,08:00:00,0.17994968276505505,-0.3800832516377499,0.19001768251502524,overcast clouds,4
2024-11-30,11:00:00,-0.016870282759223535,-0.015203330065509996,0.020942292612879443,broken clouds,2
2024-11-30,14:00:00,0.3092885172524385,-0.6233365326859098,0.16696194752836913,broken clouds,2
2024-11-30,17:00:00,1.6195471448854943,-1.4747230163544696,-0.017483932364881213,broken clouds,2
2024-11-30,20:00:00,1.5914300069534542,-0.9882164542581497,0.020942292612879443,overcast clouds,4
2024-11-30,23:00:00,0.7760330069242997,-0.7449631732099898,-0.6707297569868089,overcast clouds,4
